City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Devils Lake,US,80.94,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
418,Victoria,HK,83.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
419,Obanazawa,JP,73.56,overcast clouds,38.6033,140.4019,ビジネスホテル すがはら
420,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
425,Shimoda,JP,75.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
427,Shelburne,CA,74.12,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
428,North Bend,US,73.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
429,Kendari,ID,75.54,light rain,-3.945,122.4989,Hotel Wixel
433,Puerto Madero,MX,79.0,broken clouds,14.7208,-92.4215,Hotel La Central
441,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
442,Mersing,MY,77.43,overcast clouds,2.4312,103.8405,Timotel Hotel
447,Kawalu,ID,73.33,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
449,Jaysingpur,IN,71.55,overcast clouds,16.779,74.5564,Hotel Trust Inn
450,Banjar,ID,75.06,few clouds,-8.19,114.9675,The Hamsa Resort
451,Bonthe,SL,80.13,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
453,Naifaru,MV,82.22,light rain,5.4444,73.3657,Naifaru Residence Guest House
456,Batavia,US,86.52,clear sky,41.85,-88.3126,Comfort Inn & Suites Geneva - West Chicago
457,Abu Dhabi,AE,87.53,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
458,Brindisi,IT,70.48,clear sky,40.5833,17.6667,Agriturismo Tibitone
461,Grand Gaube,MU,74.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
462,Puerto Carreno,CO,77.34,light rain,6.189,-67.4859,Casa Hotel Victoria
463,Kavaratti,IN,83.05,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
464,Olinda,BR,74.93,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
467,Anloga,GH,81.7,scattered clouds,5.7947,0.8973,Pin Drop Hotel
468,Atambua,ID,72.7,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
469,Azambuja,PT,71.38,broken clouds,39.0703,-8.8682,Flor da Primavera Guest House
472,Sungairaya,ID,76.48,overcast clouds,0.7,108.9,Mess P.Milu
473,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
477,Xiamen,CN,79.3,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
478,Kogon,UZ,75.24,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
479,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
480,Ambulu,ID,72.73,clear sky,-8.345,113.6058,Hotel Ambulu Jember
481,Yenagoa,NG,75.83,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
482,Eluru,IN,80.1,moderate rain,16.7,81.1,SRI KRISHNA RESIDENCY
483,Sabang,ID,82.78,overcast clouds,5.8933,95.3214,Hotel Citra
486,Erzin,TR,71.01,few clouds,36.9559,36.2,Artemis Otel
493,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
496,Patharia,IN,82.69,broken clouds,23.9,79.2,Maraige hool शादी घर पथरिया दमोह
498,Tabas,IR,89.28,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
500,Padang,ID,78.94,overcast clouds,-0.9492,100.3543,Mercure Padang
504,Hambantota,LK,79.75,scattered clouds,6.1241,81.1185,Bungalow 63
505,Vaitape,PF,80.28,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
506,Mahayag,PH,77.31,broken clouds,8.1183,123.4455,Eriberta Spring
507,Bac Lieu,VN,79.47,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
508,Lompoc,US,89.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
509,Mehran,IR,84.45,clear sky,33.1222,46.1646,بوتیک زنانه بهار
510,Nara,JP,73.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
511,Turayf,SA,78.19,clear sky,31.6725,38.6637,Turaif
