City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Puerto Narino,CO,-3.7703,-70.3831,76.95,98,99,1.77,heavy intensity rain
225,Baherden,TM,38.4362,57.4316,82.56,38,0,7.43,clear sky
226,Indian Head,US,38.6001,-77.1622,78.93,65,1,0.0,clear sky
227,Krasnoselkup,RU,65.7,82.4667,42.1,79,75,9.78,broken clouds
228,Taoudenni,ML,22.6783,-3.9836,101.93,9,0,10.13,clear sky
229,Guajara,BR,-2.9667,-57.6667,78.1,80,21,3.6,few clouds
230,Digras,IN,20.1167,77.7167,81.95,70,100,9.28,overcast clouds
231,Kamen-Na-Obi,RU,53.7884,81.3423,49.05,79,78,6.17,broken clouds
232,Kurchum,KZ,48.5722,83.6542,46.98,76,1,7.11,clear sky
233,Saint George,US,37.1041,-113.5841,106.27,6,1,3.0,clear sky
234,Calvinia,ZA,-31.4707,19.776,58.55,42,30,2.62,scattered clouds
235,Larsnes,NO,62.2028,5.5773,51.6,87,97,13.18,overcast clouds
236,Ocos,GT,14.5094,-92.1933,86.5,75,100,10.51,overcast clouds
237,Port Macquarie,AU,-31.4333,152.9167,55.89,65,0,4.45,clear sky
238,Anacortes,US,48.5126,-122.6127,78.75,49,1,1.99,haze
239,Mikuni,JP,36.2171,136.1519,68.65,91,100,2.06,overcast clouds
240,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.27,54,48,2.15,scattered clouds
241,Mopti,ML,14.6667,-4.0,97.93,24,19,5.23,few clouds
242,Teahupoo,PF,-17.8333,-149.2667,76.96,78,29,8.66,light rain
243,Clinton,US,42.587,-82.9199,88.12,66,75,1.01,broken clouds
244,Noumea,NC,-22.2763,166.4572,78.78,99,44,0.67,scattered clouds
245,Olot,ES,42.181,2.4901,74.68,10,36,5.66,scattered clouds
246,Fairfield,US,41.2668,-73.3162,69.98,76,90,6.91,overcast clouds
247,Sawangan,ID,-6.4028,106.7744,78.67,99,20,3.44,mist
248,Stolbishche,RU,55.6468,49.216,61.25,82,0,6.71,clear sky
249,Adrar,MR,20.5022,-10.0711,100.54,13,86,5.19,overcast clouds
250,Sitka,US,57.0531,-135.33,60.69,55,75,4.61,broken clouds
251,Norton,ZW,-17.8833,30.7,33.08,70,0,5.95,clear sky
252,Sakaiminato,JP,35.55,133.2333,69.62,94,100,3.02,heavy intensity rain
253,Berani,PK,25.785,68.8069,82.49,67,0,24.32,clear sky
254,Salmon Arm,CA,50.6998,-119.3024,83.62,35,40,2.95,scattered clouds
255,Namwala,ZM,-15.7504,26.4384,52.61,52,26,1.77,scattered clouds
256,Alofi,NU,-19.0595,-169.9187,74.41,60,50,21.92,scattered clouds
257,Chuy,UY,-33.6971,-53.4616,55.35,90,13,6.76,few clouds
258,Poum,NC,-20.2333,164.0167,75.13,74,2,6.78,clear sky
259,Gorontalo,ID,0.5412,123.0595,76.23,90,99,1.81,overcast clouds
260,Saint Anthony,US,45.0205,-93.218,85.75,24,1,1.99,clear sky
261,Matara,LK,5.9485,80.5353,78.78,88,59,13.22,broken clouds
262,Broadstairs,GB,51.3591,1.4394,61.2,84,11,3.0,few clouds
263,Ilulissat,GL,69.2167,-51.1,39.22,81,25,5.75,scattered clouds
264,Wucheng,CN,29.6008,118.175,76.51,97,99,0.49,overcast clouds
265,Tiksi,RU,71.6872,128.8694,48.65,53,23,9.95,few clouds
266,Ribeira Grande,PT,38.5167,-28.7,68.58,83,14,1.72,few clouds
267,Inhambane,MZ,-23.865,35.3833,66.56,86,1,3.36,clear sky
268,Bontang,ID,0.1333,117.5,76.3,90,100,5.57,moderate rain
269,Calderitas,MX,18.55,-88.25,84.31,79,90,11.5,overcast clouds
270,Polis,CY,35.0367,32.4264,67.82,87,0,4.36,clear sky
271,Elk City,US,35.412,-99.4043,93.42,40,1,9.22,clear sky
272,Skibbereen,IE,51.55,-9.2667,60.6,89,3,6.51,clear sky
273,Safranbolu,TR,41.2508,32.6942,54.01,94,27,2.24,scattered clouds
274,Thaton,MM,16.9206,97.3714,75.33,95,98,3.91,overcast clouds
275,Vilhena,BR,-12.7406,-60.1458,73.38,62,98,2.89,overcast clouds
276,Labuhan,ID,-6.8844,112.2051,77.13,87,29,6.53,scattered clouds
277,Laibin,CN,23.7,109.2667,78.49,88,65,3.49,broken clouds
278,Laguna,US,38.421,-121.4238,94.91,35,1,1.01,clear sky
279,Ust-Maya,RU,60.4167,134.5333,64.17,56,47,5.55,scattered clouds
280,Ozernovskiy,RU,51.5,156.5167,50.56,88,100,3.78,light rain
281,Miri,MY,4.4148,114.0089,75.58,91,100,5.19,light rain
282,Xambioa,BR,-6.4111,-48.5364,75.69,72,69,2.57,broken clouds
283,Synevyr,UA,48.4875,23.6258,55.67,99,95,4.43,light rain
284,Nanortalik,GL,60.1432,-45.2371,37.74,84,93,7.72,overcast clouds
285,Riverton,US,40.5219,-111.9391,93.7,13,1,3.0,clear sky
286,Sao Filipe,CV,14.8961,-24.4956,76.82,79,97,4.52,overcast clouds
287,Dzilam Gonzalez,MX,21.2833,-88.9333,75.7,94,97,1.48,overcast clouds
288,Dzerzhinsk,RU,56.2389,43.4631,61.45,100,75,2.24,broken clouds
289,Katsuura,JP,35.1333,140.3,75.31,78,100,10.47,overcast clouds
290,Evensk,RU,61.95,159.2333,55.56,52,7,4.5,clear sky
291,Itarema,BR,-2.9248,-39.9167,77.77,85,53,6.89,broken clouds
292,College,US,64.8569,-147.8028,71.65,59,75,6.91,light rain
293,Portland,US,45.5234,-122.6762,81.45,46,75,1.01,broken clouds
294,Beira,MZ,-19.8436,34.8389,66.29,94,0,3.44,clear sky
295,Winnemucca,US,40.973,-117.7357,87.85,15,1,5.75,clear sky
296,Saint-Philippe,RE,-21.3585,55.7679,72.95,77,46,12.82,scattered clouds
297,Bagotville,AU,-28.9833,153.4167,58.64,69,2,7.38,clear sky
298,Beeville,US,28.4008,-97.7483,91.58,62,1,8.05,clear sky
299,Bairiki,KI,1.3292,172.9752,86.0,74,40,6.91,scattered clouds
300,Las Vegas,US,36.175,-115.1372,105.42,4,1,6.91,clear sky
301,Okakarara,NA,-20.5833,17.4333,50.05,37,24,6.44,few clouds
302,Rio Gallegos,AR,-51.6226,-69.2181,37.54,84,14,15.52,few clouds
303,Sayyan,YE,15.1718,44.3244,64.9,23,30,5.84,scattered clouds
304,Irece,BR,-11.3042,-41.8558,78.87,42,74,9.28,broken clouds
305,Aden,YE,12.7794,45.0367,87.87,68,29,15.64,scattered clouds
306,Hasaki,JP,35.7333,140.8333,77.29,84,100,12.59,overcast clouds
