City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Hokitika,-42.7167,170.9667,52.56,64,95,4.7,NZ,2021-06-10 17:52:57
156,Florence,43.7667,11.25,77.83,63,0,5.75,IT,2021-06-10 17:48:56
157,Morgan City,29.6994,-91.2068,90.0,66,20,12.66,US,2021-06-10 17:52:58
158,Baykit,61.67,96.37,34.3,93,55,3.87,RU,2021-06-10 17:52:58
159,Tual,-5.6667,132.75,81.01,78,96,13.98,ID,2021-06-10 17:52:58
160,La Asuncion,11.0333,-63.8628,83.93,79,91,11.5,VE,2021-06-10 17:52:59
161,Victoria,22.2855,114.1577,84.96,84,74,1.99,HK,2021-06-10 17:49:57
162,Boende,-0.2167,20.8667,78.67,71,69,2.82,CD,2021-06-10 17:52:59
163,Talnakh,69.4865,88.3972,30.54,98,98,4.59,RU,2021-06-10 17:52:59
164,Huilong,31.8111,121.655,76.03,92,100,4.72,CN,2021-06-10 17:53:00
165,Poya,-21.35,165.15,68.34,82,100,5.77,NC,2021-06-10 17:53:00
166,Airai,-8.9266,125.4092,57.79,95,83,3.04,TL,2021-06-10 17:53:00
167,Marquette,46.5333,-87.6335,75.36,99,95,6.31,US,2021-06-10 17:53:00
168,Kavieng,-2.5744,150.7967,82.56,76,82,16.2,PG,2021-06-10 17:53:01
169,Rio Gallegos,-51.6226,-69.2181,42.85,61,0,5.75,AR,2021-06-10 17:53:01
170,Adrar,20.5022,-10.0711,111.25,6,14,9.95,MR,2021-06-10 17:53:01
171,Road Town,18.4167,-64.6167,84.24,74,75,9.22,VG,2021-06-10 17:53:02
172,Were Ilu,10.6,39.4333,61.84,33,76,8.93,ET,2021-06-10 17:53:02
173,Kenora,49.8167,-94.4337,67.98,82,90,8.05,CA,2021-06-10 17:53:02
174,Mount Gambier,-37.8333,140.7667,55.31,94,67,9.22,AU,2021-06-10 17:53:03
175,Mendoza,-32.8908,-68.8272,62.13,45,20,12.66,AR,2021-06-10 17:48:27
176,Darnah,32.767,22.6367,71.28,80,5,13.98,LY,2021-06-10 17:53:03
177,Port Elizabeth,-33.918,25.5701,62.1,67,0,4.61,ZA,2021-06-10 17:53:04
178,Bartica,6.4,-58.6167,80.92,73,92,5.23,GY,2021-06-10 17:53:04
179,Ewa Beach,21.3156,-158.0072,78.1,72,20,4.61,US,2021-06-10 17:50:07
180,Ponta Do Sol,32.6667,-17.1,81.23,52,3,4.34,PT,2021-06-10 17:53:05
181,Pital,2.2665,-75.8044,79.72,62,84,4.56,CO,2021-06-10 17:53:05
182,Bac Giang,21.2667,106.2,82.47,88,100,2.53,VN,2021-06-10 17:53:06
183,Zhuhai,22.2769,113.5678,84.7,89,40,9.22,CN,2021-06-10 17:48:11
184,Espera Feliz,-20.6503,-41.9072,69.84,72,84,3.24,BR,2021-06-10 17:53:06
185,Nanakuli,21.3906,-158.1547,79.11,78,90,5.75,US,2021-06-10 17:53:07
186,Svetlyy,54.675,20.1347,62.65,83,32,6.78,RU,2021-06-10 17:53:07
187,Letterkenny,54.95,-7.7333,69.69,63,94,11.21,IE,2021-06-10 17:53:07
188,Zhigansk,66.7697,123.3711,48.56,45,99,10.74,RU,2021-06-10 17:53:07
189,Filingue,14.3521,3.3168,102.25,22,43,4.79,NE,2021-06-10 17:53:08
190,Dakar,14.6937,-17.4441,85.08,74,18,6.91,SN,2021-06-10 17:53:08
191,Sao Filipe,14.8961,-24.4956,74.17,82,38,12.08,CV,2021-06-10 17:53:08
192,Novoagansk,61.9449,76.6625,50.09,58,80,2.77,RU,2021-06-10 17:53:08
193,Leningradskiy,69.3833,178.4167,32.72,90,85,4.09,RU,2021-06-10 17:53:09
194,Cay,38.5917,31.0286,56.07,84,100,4.29,TR,2021-06-10 17:53:09
195,Orikum,40.3253,19.4714,71.4,73,37,2.86,AL,2021-06-10 17:53:09
196,Merauke,-8.4667,140.3333,75.81,92,23,11.56,ID,2021-06-10 17:51:51
197,Cidreira,-30.1811,-50.2056,61.45,98,100,2.19,BR,2021-06-10 17:53:10
198,Bubaque,11.2833,-15.8333,81.34,82,85,13.89,GW,2021-06-10 17:53:10
199,Mehamn,71.0357,27.8492,58.91,79,100,10.18,NO,2021-06-10 17:53:10
200,Pochutla,15.7432,-96.4661,85.82,75,100,4.83,MX,2021-06-10 17:53:11
201,Upernavik,72.7868,-56.1549,35.4,85,4,6.64,GL,2021-06-10 17:53:11
202,Kargasok,59.0556,80.8572,40.62,72,27,1.9,RU,2021-06-10 17:53:11
